,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,22,COL,26,,12,7,3,52,538,486,.903,2.24,3,3.3,1393,,,,100,0.04,0,1,1,0
1,Jean-Sebastien Aubin,23,PIT,36,,20,14,1,107,973,866,.890,3.33,0,4.6,2050,,,,114,-12.87,0,1,1,4
2,Ed Belfour,35,DAL,63,,35,20,7,144,1508,1364,.905,2.34,8,9.5,3687,,,,99,1.88,0,1,1,4
3,Zac Bierk,24,MIN,1,,0,1,0,6,27,21,.778,6.00,0,-0.2,60,,,,,,0,0,0,2
4,Craig Billington,34,WSH,12,,3,5,2,27,317,290,.915,2.45,0,2.3,660,,,,,,0,1,1,0
5,Martin Biron,23,BUF,18,,7,7,1,39,427,388,.909,2.55,2,2.9,918,,,,94,2.31,0,0,0,0
6,Brian Boucher,24,PHI,27,,8,12,5,80,644,564,.876,3.27,1,2.0,1470,,,,128,-17.70,0,0,0,2
7,Fred Brathwaite,28,CGY,49,,15,17,10,106,1181,1075,.910,2.32,5,8.1,2742,,,,93,8.25,0,1,1,2
8,Martin Brodeur,28,NJD,72,,42,17,11,166,1762,1596,.906,2.32,9,11.3,4297,,,,97,4.45,0,1,1,14
9,Sean Burke,34,PHX,62,,25,22,13,138,1766,1628,.922,2.27,4,14.4,3644,,,,81,32.84,0,1,1,16
10,Roman Cechmanek,29,PHI,59,,35,15,6,115,1464,1349,.921,2.01,10,11.9,3431,,,,81,26.62,0,1,1,4
11,Dan Cloutier,24,TOT,40,,7,19,8,96,889,793,.892,3.00,1,4.4,1919,,,,112,-10.00,0,0,0,4
12,Dan Cloutier,24,TBL,24,,3,13,3,59,541,482,.891,3.52,1,2.6,1005,,,,113,-6.66,0,0,0,4
13,Dan Cloutier,24,VAN,16,,4,6,5,37,348,311,.894,2.43,0,1.8,914,,,,110,-3.34,0,0,0,0
14,Byron Dafoe,29,BOS,45,,22,14,7,101,1076,975,.906,2.39,2,6.9,2536,,,,97,3.09,0,2,2,6
15,Marc Denis,23,CBJ,32,,6,20,4,99,940,841,.895,3.25,0,4.9,1830,,,,109,-8.07,0,0,0,2
16,Rick DiPietro,19,NYI,20,,3,15,1,63,515,452,.878,3.49,0,1.7,1083,,,,126,-13.18,0,2,2,6
17,Mike Dunham,28,NSH,48,,21,21,4,107,1381,1274,.923,2.33,4,11.4,2810,,,,80,26.59,0,0,0,2
18,Robert Esche,23,PHX,25,,10,8,4,68,657,589,.896,3.02,2,3.5,1350,,,,107,-4.44,0,3,3,2
19,Bob Essensa,36,VAN,39,,18,12,3,92,854,762,.892,2.68,1,4.2,2059,,,,111,-9.39,0,0,0,4
20,Scott Fankhouser,25,ATL,7,,2,1,0,16,160,144,.900,3.44,0,0.9,260,,,,,,0,0,0,2
21,Manny Fernandez,26,MIN,42,,19,17,4,92,1147,1055,.920,2.24,4,9.1,2461,,,,83,18.96,0,0,0,6
22,Eric Fichaud,25,MTL,2,,0,2,0,4,32,28,.875,3.89,0,0.1,62,,,,,,0,0,0,0
23,Stephane Fiset,30,LAK,7,,3,0,1,19,129,110,.853,3.58,0,0.1,318,,,,,,0,0,0,2
24,Wade Flaherty,33,TOT,22,,6,12,0,64,525,461,.878,3.38,1,1.8,1135,,,,126,-13.21,0,0,0,2
25,Wade Flaherty,33,NYI,20,,6,10,0,56,470,414,.881,3.30,1,1.7,1017,,,,123,-10.53,0,0,0,2
26,Wade Flaherty,33,TBL,2,,0,2,0,8,55,47,.855,4.07,0,0.0,118,,,,,,0,0,0,0
27,Mike Fountain,29,OTT,1,,0,1,0,3,25,22,.880,3.07,0,0.1,59,,,,,,0,0,0,0
28,Joaquin Gage,27,EDM,5,,2,2,0,15,125,110,.880,3.46,0,0.5,260,,,,,,0,0,0,0
29,Mathieu Garon,23,MTL,11,,4,5,1,24,233,209,.897,2.44,2,1.3,589,,,,,,0,0,0,0
30,Jean-Sebastien Giguere,23,MDA,34,,11,17,5,87,976,889,.911,2.57,4,6.8,2031,,,,92,7.42,0,2,2,8
31,John Grahame,25,BOS,10,,3,4,0,28,211,183,.867,3.57,0,0.5,471,,,,,,0,0,0,2
32,Derek Gustafson,21,MIN,4,,1,3,0,10,97,87,.897,2.51,0,0.5,239,,,,,,0,0,0,0
33,Jeff Hackett,32,MTL,19,,4,10,2,54,477,423,.887,3.25,0,2.1,998,,,,117,-7.86,0,1,1,0
34,Dominik Hasek,36,BUF,67,,37,24,4,137,1726,1589,.921,2.11,11,13.9,3904,,,,82,29.97,0,3,3,22
35,Glenn Healy,38,TOR,15,,4,7,3,38,331,293,.885,2.62,0,1.4,871,,,,119,-5.98,0,0,0,0
36,Guy Hebert,34,TOT,54,,17,30,5,157,1521,1364,.897,3.19,2,8.3,2950,,,,107,-9.86,0,0,0,0
37,Guy Hebert,34,MDA,41,,12,23,4,115,1112,997,.897,3.11,2,6.0,2215,,,,107,-7.43,0,0,0,0
38,Guy Hebert,34,NYR,13,,5,7,1,42,409,367,.897,3.43,0,2.2,735,,,,106,-2.43,0,0,0,0
39,Johan Hedberg,27,PIT,9,,7,1,1,24,253,229,.905,2.64,0,1.6,545,,,,,,0,0,0,0
40,Corey Hirsch,28,WSH,1,,1,0,0,0,8,8,1.000,0.00,0,0.1,20,,,,,,0,0,0,0
41,Milan Hnilicka,27,ATL,36,,12,19,2,105,951,846,.890,3.41,2,4.4,1879,,,,114,-13.00,0,0,0,4
42,Johan Holmqvist,22,NYR,2,,0,2,0,10,71,61,.859,5.05,0,0.1,119,,,,,,0,0,0,2
43,Jani Hurme,26,OTT,22,,12,5,4,54,563,509,.904,2.50,2,3.5,1296,,,,99,0.46,0,0,0,0
44,Arturs Irbe,33,CAR,77,,37,29,9,180,1947,1767,.908,2.45,6,12.9,4406,,,,96,8.35,0,2,2,6
45,Brent Johnson,23,STL,31,,19,9,2,63,676,613,.907,2.17,4,4.4,1744,,,,96,2.39,0,0,0,2
46,Curtis Joseph,33,TOR,68,,33,27,8,163,1907,1744,.915,2.39,6,14.0,4100,,,,88,21.48,0,1,1,8
47,Nikolai Khabibulin,28,TBL,2,,1,1,0,6,69,63,.913,2.92,0,0.5,123,,,,,,0,0,0,0
48,Trevor Kidd,28,FLA,42,,10,23,6,130,1217,1087,.893,3.31,1,6.1,2354,,,,110,-12.27,0,1,1,6
49,Miikka Kiprusoff,24,SJS,5,,2,1,0,5,51,46,.902,1.94,0,0.3,154,,,,,,0,0,0,0
50,Dieter Kochan,26,TBL,10,,0,3,0,18,138,120,.870,3.44,0,0.3,314,,,,,,0,0,0,0
51,Olaf Kolzig,30,WSH,72,,37,26,8,177,1941,1764,.909,2.48,5,13.1,4279,,,,94,10.77,0,2,2,14
52,Evgeny Konstantinov,19,TBL,1,,0,0,0,0,0,0,,0.00,0,0.0,1,,,,,,0,0,0,0
53,Jason LaBarbera,21,NYR,1,,0,0,0,0,2,2,1.000,0.00,0,0.0,10,,,,,,0,0,0,0
54,Patrick Lalime,26,OTT,60,,36,19,5,141,1640,1499,.914,2.35,7,12.0,3607,,,,89,17.65,0,1,1,2
55,Michel Larocque,24,CHI,3,,0,2,0,9,59,50,.847,3.55,0,0.0,152,,,,,,0,0,0,0
56,Manny Legace,27,DET,39,,24,5,5,73,909,836,.920,2.05,2,7.2,2136,,,,83,14.93,0,2,2,4
57,Roberto Luongo,21,FLA,47,,12,24,7,107,1333,1226,.920,2.44,5,10.6,2628,,,,83,21.95,0,0,0,2
58,Norm Maracle,26,ATL,13,,2,8,3,43,406,363,.894,3.43,0,2.1,753,,,,109,-3.72,0,0,0,0
59,Chris Mason,24,NSH,1,,0,1,0,2,20,18,.900,2.05,0,0.1,59,,,,,,0,0,0,0
60,Kirk McLean,34,NYR,23,,8,10,1,71,639,568,.889,3.49,0,2.9,1220,,,,115,-9.18,0,0,0,0
61,Jamie McLennan,29,MIN,38,,5,23,9,98,1032,934,.905,2.64,2,6.5,2230,,,,98,1.83,0,1,1,4
62,Tyler Moss,25,CAR,12,,1,6,0,37,251,214,.853,3.99,0,0.2,557,,,,,,0,0,0,0
63,Evgeni Nabokov,25,SJS,66,,32,21,7,135,1582,1447,.915,2.19,6,11.7,3700,,,,88,18.04,0,2,2,8
64,Gregg Naumenko,23,MDA,2,,0,1,0,7,29,22,.759,5.99,0,-0.3,70,,,,,,0,0,0,2
65,Mika Noronen,21,BUF,2,,2,0,0,5,39,34,.872,2.77,0,0.1,108,,,,,,0,0,0,0
66,Chris Osgood,28,DET,52,,25,19,4,127,1310,1183,.903,2.69,1,8.0,2834,,,,100,-0.27,0,0,0,8
67,Maxime Ouellet,19,PHI,2,,0,1,0,3,27,24,.889,2.38,0,0.1,76,,,,,,0,0,0,0
68,Rich Parent,28,PIT,7,,1,1,3,17,150,133,.887,3.08,0,0.6,332,,,,,,0,0,0,0
69,Steve Passmore,28,TOT,20,,3,12,2,51,457,406,.888,2.89,1,2.1,1058,,,,115,-6.79,0,0,0,4
70,Steve Passmore,28,LAK,14,,3,8,1,37,310,273,.881,3.09,1,1.1,718,,,,,,0,0,0,0
71,Steve Passmore,28,CHI,6,,0,4,1,14,147,133,.905,2.47,0,0.9,340,,,,,,0,0,0,4
72,Felix Potvin,29,TOT,58,,27,22,8,149,1485,1336,.900,2.62,6,8.5,3416,,,,104,-5.34,0,5,5,4
73,Felix Potvin,29,VAN,35,,14,17,3,103,914,811,.887,3.08,1,4.0,2006,,,,116,-14.58,0,2,2,2
74,Felix Potvin,29,LAK,23,,13,5,5,46,571,525,.919,1.96,5,4.5,1410,,,,83,9.24,0,3,3,2
75,Andrew Raycroft,20,BOS,15,,4,6,0,32,291,259,.890,2.96,0,1.4,649,,,,,,0,0,0,0
76,Damian Rhodes,31,ATL,38,,7,19,7,116,1129,1013,.897,3.40,0,6.2,2072,,,,106,-6.78,0,0,0,16
77,Mike Richter,34,NYR,45,,20,21,3,144,1343,1199,.893,3.28,0,6.7,2635,,,,111,-14.08,0,0,0,0
78,Dominic Roussel,30,TOT,21,,3,9,2,52,446,394,.883,3.12,0,1.8,1001,,,,121,-8.86,0,0,0,2
79,Dominic Roussel,30,MDA,13,,2,5,2,31,295,264,.895,2.85,0,1.5,653,,,,,,0,0,0,0
80,Dominic Roussel,30,EDM,8,,1,4,0,21,151,130,.861,3.62,0,0.2,348,,,,,,0,0,0,2
81,Patrick Roy,35,COL,62,,40,13,7,132,1513,1381,.913,2.22,4,10.8,3585,,,,90,14.36,0,5,5,10
82,Tommy Salo,29,EDM,73,,36,25,12,179,1856,1677,.904,2.46,8,11.5,4364,,,,100,0.55,0,1,1,4
83,Travis Scott,25,LAK,1,,0,0,0,3,10,7,.700,7.28,0,-0.2,25,,,,,,0,0,0,0
84,Steve Shields,28,SJS,21,,6,8,5,47,531,484,.911,2.48,2,3.7,1135,,,,91,4.37,0,0,0,2
85,Peter Skudra,27,TOT,26,,6,12,1,62,511,449,.879,3.33,0,1.8,1117,,,,125,-12.57,0,0,0,0
86,Peter Skudra,27,BOS,25,,6,12,1,62,511,449,.879,3.33,0,1.8,1116,,,,125,-12.57,0,0,0,0
87,Peter Skudra,27,BUF,1,,0,0,0,0,0,0,,0.00,0,0.0,1,,,,,,0,0,0,0
88,Garth Snow,31,PIT,35,,14,15,4,101,1014,913,.900,2.98,3,5.9,2032,,,,103,-2.91,0,0,0,8
89,Jamie Storr,25,LAK,45,,19,18,6,114,1131,1017,.899,2.74,4,6.4,2498,,,,104,-4.59,0,0,0,4
90,Robbie Tallas,27,CHI,12,,2,7,0,35,265,230,.868,3.35,0,0.6,627,,,,,,0,0,0,0
91,Chris Terreri,36,TOT,18,,4,9,2,39,372,333,.895,2.67,0,2.0,896,,,,108,-3.01,0,0,0,2
92,Chris Terreri,36,NJD,10,,2,5,1,21,167,146,.874,2.78,0,0.5,453,,,,,,0,0,0,0
93,Chris Terreri,36,NYI,8,,2,4,1,18,205,187,.912,2.56,0,1.5,443,,,,,,0,0,0,2
94,Jose Theodore,24,MTL,59,,20,29,5,141,1546,1405,.909,2.57,2,10.4,3298,,,,94,8.56,1,0,1,6
95,Jocelyn Thibault,26,CHI,66,,27,32,7,180,1711,1531,.895,2.81,6,8.9,3844,,,,109,-14.48,0,3,3,2
96,Ron Tugnutt,33,CBJ,53,,22,25,5,127,1528,1401,.917,2.44,4,11.6,3129,,,,86,20.82,0,1,1,2
97,Marty Turco,25,DAL,26,,13,6,1,40,532,492,.925,1.90,3,4.5,1266,,,,78,11.46,0,0,0,12
98,Roman Turek,30,STL,54,,24,18,10,123,1248,1125,.901,2.27,6,7.4,3232,,,,102,-2.27,0,1,1,6
99,John Vanbiesbrouck,37,TOT,48,,14,25,5,126,1270,1144,.901,2.90,2,7.5,2630,,,,103,-3.14,0,0,0,8
100,John Vanbiesbrouck,37,NYI,44,,10,25,5,120,1177,1057,.898,3.04,1,6.6,2390,,,,105,-6.14,0,0,0,8
101,John Vanbiesbrouck,37,NJD,4,,4,0,0,6,93,87,.935,1.50,1,0.9,240,,,,,,0,0,0,0
102,Mike Vernon,37,CGY,41,,12,23,5,121,1034,913,.883,3.23,3,4.1,2246,,,,121,-20.97,0,1,1,16
103,Tomas Vokoun,24,NSH,37,,13,17,5,85,940,855,.910,2.51,2,6.4,2088,,,,93,5.93,0,0,0,2
104,Kevin Weekes,25,TBL,61,,20,33,3,177,1742,1565,.898,3.15,4,9.8,3378,,,,105,-8.48,0,1,1,4
105,Kay Whitmore,33,BOS,5,,1,2,0,18,94,76,.809,5.33,0,-0.4,203,,,,,,0,0,0,0
106,Vitali Yeremeyev,25,NYR,4,,0,4,0,16,104,88,.846,4.52,0,0.0,212,,,,,,0,0,0,0
